gene	conMean	treatMean	logFC	pValue	fdr
FLNC	46.0155025641026	4.75615049504951	-3.27425371422135	5.34453588057222e-11	1.60731236186525e-10
COL7A1	0.405812820512821	3.58741608910891	3.14405873823914	2.179513648638e-21	5.69981528616331e-20
COL27A1	0.483112820512821	1.94602846534653	2.01010076952744	4.05098663385304e-13	1.59974642069876e-12
ASPM	1.05518974358974	3.11442747524752	1.56146453038131	1.15936271209856e-16	7.54513253033743e-16
AKAP12	8.88307948717949	3.48554405940594	-1.34967603646985	6.5345758657964e-12	2.16974590482668e-11
TNS1	32.1783384615385	5.61588440594059	-2.51850468850469	1.71548129086588e-14	8.1136280820895e-14
SVIL	18.4836179487179	5.72911212871287	-1.68986369560061	3.06138971891302e-12	1.07346574842058e-11
FASN	15.2323769230769	45.5893284653465	1.58155507484853	2.73236207577515e-17	2.06769911501682e-16
HELZ2	4.23304102564103	9.78067698019802	1.20823985535424	8.99045423660046e-13	3.40966644357784e-12
KIF26B	0.110074358974359	1.14874232673267	3.38350487698227	4.72683429479669e-19	5.16144926015719e-18
BRCA2	0.350620512820513	1.69276014851485	2.27139526099413	5.50023371359191e-21	1.22587400712521e-19
TG	0.0549538461538462	1.0902551980198	4.31030160135574	9.04244291505834e-20	1.29053110726315e-18
MAP1A	3.59028205128205	1.24332277227723	-1.5298963108666	1.07508454742921e-06	2.06756803624979e-06
UGGT2	1.40789487179487	4.03641633663366	1.51953537782127	8.12843149779793e-19	8.3176064793551e-18
FLNA	263.448864102564	70.4716061881188	-1.90240895788984	3.99398257402714e-07	8.04233867319574e-07
AHNAK	70.4062282051282	26.4133381188119	-1.41443641586027	1.44438924021552e-16	9.28862171474566e-16
COL4A1	11.8106384615385	26.9453014851485	1.18994677251925	3.58584756169802e-12	1.23344058834729e-11
SVEP1	2.43632564102564	0.769271287128713	-1.66314261157566	6.3865595601565e-15	3.29870869980147e-14
COL14A1	10.5688435897436	4.31619430693069	-1.29198581130446	4.67551842530782e-14	2.07843401037591e-13
ACAN	0.119402564102564	0.989919306930693	3.05147711099889	3.92790312344284e-21	9.12956911691643e-20
TRPA1	2.8196641025641	1.15742153465347	-1.28460891743964	3.45648863212732e-14	1.56214083457532e-13
COL5A2	7.55411794871795	25.9846767326733	1.7823258959321	5.79881655364489e-12	1.92938129504708e-11
CALD1	61.5831256410256	20.3255564356436	-1.59924024469321	0.000180304382051479	0.000281530930516081
ACACB	4.57545641025641	1.47027574257426	-1.63782891168508	2.01576012229192e-22	9.11011588602487e-21
PRUNE2	7.58028205128205	2.99068564356436	-1.34177525586833	3.2134196984682e-06	5.94793384460496e-06
TIAM1	1.01251538461538	0.457343316831683	-1.14659435492293	3.36364092425493e-15	1.81213370323271e-14
STAB1	11.9722461538462	4.03607326732673	-1.56866957738932	2.25703383821591e-17	1.73216700697042e-16
BRINP3	2.76830769230769	0.298068316831683	-3.21528936744815	2.55805675485148e-23	2.2049630668218e-21
SLIT3	4.37096666666667	0.845077475247525	-2.37079685969302	8.49409573600202e-21	1.74935364081966e-19
MKI67	7.15181282051282	16.4401185643564	1.20083982015657	2.0381349480001e-12	7.30406511100476e-12
NUP205	6.22203846153846	12.5393512376238	1.01100348971751	4.56271772168334e-20	7.07003974588457e-19
MPDZ	1.43961538461538	0.60999603960396	-1.23881164385545	4.95623544080292e-10	1.33287327658583e-09
PLXNA1	3.31530769230769	8.8516952970297	1.41681101745949	8.81575438090936e-21	1.79290404721744e-19
AXIN2	5.47454615384615	34.1747207920792	2.64211827733145	1.3229211887986e-16	8.54124116736239e-16
PLCG2	2.84039743589744	0.797324504950495	-1.83285389489827	2.81925294739574e-20	4.58692454541287e-19
SAMD9	7.53501282051282	3.31027400990099	-1.18665932459536	4.27111164378412e-14	1.90386264231144e-13
TRPM6	13.6377564102564	0.913204702970297	-3.90052422199961	1.98996903328835e-22	9.11011588602487e-21
SPTBN2	0.451448717948718	4.4558	3.30305045827302	6.75837516312961e-24	1.22063576691677e-21
TTK	2.05840512820513	5.51098242574257	1.42078257004741	6.32993440295038e-18	5.30866148123725e-17
COL1A2	53.1164179487179	158.980225247525	1.58161756409009	1.88821321804863e-08	4.37001835812962e-08
KIAA1549	0.451815384615385	2.50590445544554	2.47152610755138	4.58658827738377e-23	3.06408856434743e-21
PTPN13	0.894464102564103	2.24424158415842	1.32713249597658	0.00136049474216815	0.00191481396670206
KNL1	1.12168461538462	2.43056955445545	1.11562732994778	2.23857250937459e-12	7.98718744024662e-12
UTP20	2.18032051282051	4.79427277227723	1.13677176355895	3.91017604593623e-17	2.86570109312534e-16
BOC	2.04387692307692	0.800504702970297	-1.35232653984702	1.20400463611442e-11	3.8485570588569e-11
THBS2	2.06521538461538	10.0021133663366	2.27594070652327	2.77376857888689e-08	6.26794649701246e-08
NCAPD3	2.19758205128205	5.16819925742574	1.23374466112974	1.03498827714319e-21	3.17721873002259e-20
PLXNA2	9.48938717948718	4.61711014851485	-1.03932477104858	4.62659274076946e-15	2.44398259390646e-14
LTBP4	39.7744692307692	15.7385658415842	-1.33753859574786	1.88462529889815e-17	1.47417565447466e-16
CACNA1D	0.400535897435897	1.17214034653465	1.54914186863028	4.46208454317757e-13	1.74514700763219e-12
PTPRC	6.99296666666667	3.38748316831683	-1.04569085027871	4.10328462335856e-11	1.24553061235156e-10
NOTCH3	3.7578358974359	9.29090099009901	1.30591644305761	8.83796685095385e-12	2.87587441330038e-11
ASXL1	3.59483846153846	7.58958094059406	1.07809328644564	7.687759825771e-18	6.38162512067827e-17
