gene	conMean	treatMean	logFC	pValue	fdr
SALL4	0.0382512820512821	1.23877435897436	5.01726151350273	5.06982782067436e-14	5.72410965428842e-13
TRPM2	1.60225897435897	5.51979487179487	1.78450730364111	3.09563626022369e-10	1.48217999737358e-09
MYLK	36.8675102564103	5.83976923076923	-2.6583667267762	1.74839459083561e-12	1.35257748207699e-11
FANCA	0.995571794871795	2.89866666666667	1.54179217602344	5.12847542872755e-15	7.65150217982476e-14
CRACD	7.10536153846154	1.62766923076923	-2.12610050928171	2.30040657658069e-17	7.11848035086358e-16
PTPRU	0.86601282051282	2.9831641025641	1.7843830539064	0.000248919441015783	0.000464742330656283
MUC4	11.1214	3.43614615384615	-1.69447510407309	4.86554058261624e-09	1.85200872746053e-08
IGSF9	11.490558974359	3.83514615384615	-1.58309551796292	2.43610260428061e-11	1.48566695319449e-10
COL1A1	47.3987666666667	317.681435897436	2.74465936159923	2.6203465090769e-13	2.48784035037926e-12
SIGLEC1	3.58162051282051	1.26674102564103	-1.49949087807355	2.60453895183274e-10	1.28762857648299e-09
PLCE1	7.74548717948718	1.83502051282051	-2.07755979485618	1.35650438438719e-18	6.86884492821513e-17
CACNA2D1	1.67529230769231	0.578866666666667	-1.53310985305015	3.74576791389191e-07	1.0431963640189e-06
SLC8A2	0.973758974358974	0.210412820512821	-2.21034210827759	0.00831949495674753	0.0122916676151416
MEGF6	0.884374358974359	3.08841538461538	1.80413770252178	2.82842274863453e-08	9.35899883756099e-08
MYH7B	0.200676923076923	1.21693333333333	2.60030350769805	0.00590169068041013	0.00886600515672153
COL5A3	1.29082820512821	3.38377948717949	1.39033854777095	1.03054590302412e-08	3.68745653951457e-08
SGSM1	0.863697435897436	0.277123076923077	-1.63999915298435	6.77084424282503e-12	4.56212932651638e-11
TEK	3.1202641025641	1.54537948717949	-1.01370699217122	6.23471338367951e-11	3.49604230339881e-10
CENPF	2.33458717948718	5.93749230769231	1.34668627572332	3.09563626022369e-10	1.48217999737358e-09
BLM	0.77335641025641	1.8797	1.28129707100485	1.08720565102233e-09	4.58911141060493e-09
KIF21B	1.38786923076923	3.29405128205128	1.24699137599408	1.26333940825036e-07	3.7562992013992e-07
SMCHD1	6.8525358974359	3.18332307692308	-1.106104396531	4.15412030464629e-13	3.7931885404721e-12
EPB41L3	8.2604717948718	1.71229230769231	-2.27029517603196	1.35650438438719e-18	6.86884492821513e-17
